review_date,helpful_votes,total_votes,weighted_votes,weighted_ratings
2012-12-12,0,0,4,7
2012-12-13,2,3,4,8
2012-12-14,7,9,7,5
2012-12-15,1,8,3,26
2012-12-16,2,2,8,14
2012-12-17,2,3,7,13
2012-12-18,1,1,7,7
2012-12-19,1,1,4,8
2012-12-20,0,0,1,2
2012-12-21,1,3,4,11
2012-12-22,0,3,0,8
2012-12-23,0,0,1,2
2012-12-24,0,0,4,4
2012-12-25,0,2,1,3
2012-12-26,1,2,3,2
2012-12-27,1,3,7,9
2012-12-28,11,16,16,-3
2012-12-29,26,31,29,-25
2012-12-30,3,4,8,12
2012-12-31,0,2,4,5
2013-01-01,1,1,2,2
2013-01-02,0,1,2,3
2013-01-03,2,3,8,11
2013-01-04,6,8,18,27
2013-01-05,1,1,5,3
2013-01-06,3,6,5,5
2013-01-07,1,3,4,8
2013-01-08,6,9,11,14
2013-01-09,1,1,5,10
2013-01-10,2,5,7,4
2013-01-11,0,0,6,7
2013-01-12,1,4,3,8
2013-01-13,2,5,4,10
2013-01-14,2,4,9,12
2013-01-15,2,3,13,24
2013-01-16,0,0,5,9
2013-01-17,3,9,8,13
2013-01-18,3,3,9,16
2013-01-19,2,9,4,11
2013-01-20,0,0,1,2
2013-01-21,0,0,1,1
2013-01-22,2,3,3,6
2013-01-23,1,1,8,15
2013-01-24,6,6,12,24
2013-01-25,1,2,8,13
2013-01-26,3,7,2,6
2013-01-27,1,2,2,4
2013-01-28,5,9,8,15
2013-01-29,4,5,8,14
2013-01-30,4,12,0,8
2013-01-31,0,3,8,14
2013-02-01,0,0,1,0
2013-02-02,0,7,-5,12
2013-02-03,0,0,4,6
2013-02-04,1,2,3,6
2013-02-05,6,6,11,22
2013-02-06,3,3,5,-2
2013-02-07,15,18,20,30
2013-02-08,0,0,4,7
2013-02-09,0,0,1,2
2013-02-10,0,0,2,4
2013-02-11,11,11,16,19
2013-02-12,0,3,1,8
2013-02-13,1,2,7,7
2013-02-14,0,0,2,3
2013-02-15,1,2,4,7
2013-02-16,0,1,0,0
2013-02-17,2,4,7,11
2013-02-18,2,5,11,25
2013-02-19,0,0,1,-2
2013-02-20,1,5,10,16
2013-02-21,13,13,25,35
2013-02-22,6,7,14,24
2013-02-23,2,3,11,18
2013-02-24,8,9,15,26
2013-02-25,0,0,2,3
2013-02-26,6,7,14,6
2013-02-27,0,1,4,7
2013-02-28,0,1,1,2
2013-03-01,6,9,7,0
2013-03-02,5,11,7,14
2013-03-03,4,7,5,9
2013-03-04,4,6,11,15
2013-03-05,3,4,7,12
2013-03-06,2,2,4,8
2013-03-07,10,14,13,13
2013-03-08,2,3,7,13
2013-03-09,4,7,6,12
2013-03-10,0,0,3,6
2013-03-11,1,1,8,12
2013-03-12,7,12,7,0
2013-03-13,2,3,6,11
2013-03-14,3,5,7,9
2013-03-15,1,4,4,11
2013-03-17,0,0,6,11
2013-03-18,5,7,9,17
2013-03-19,0,1,3,6
2013-03-20,3,4,11,22
2013-03-21,3,5,8,15
2013-03-22,1,3,6,9
2013-03-23,2,5,5,8
2013-03-24,0,1,3,5
2013-03-25,0,0,6,12
2013-03-26,11,13,15,-10
2013-03-27,1,2,3,6
2013-03-28,4,4,11,4
2013-03-29,7,12,10,18
2013-03-30,0,0,2,4
2013-03-31,0,0,1,2
2013-04-01,0,0,1,2
2013-04-02,0,0,4,6
2013-04-03,2,4,6,12
2013-04-05,2,5,8,10
2013-04-06,0,2,4,7
2013-04-07,0,2,4,8
2013-04-08,0,0,4,8
2013-04-09,12,13,17,30
2013-04-11,6,8,11,-3
2013-04-12,0,0,6,9
2013-04-13,2,3,5,10
2013-04-14,2,5,3,5
2013-04-15,5,5,10,17
2013-04-16,0,0,1,1
2013-04-17,0,1,12,17
2013-04-18,0,1,5,10
2013-04-19,0,1,6,11
2013-04-20,4,5,7,3
2013-04-21,1,1,3,5
2013-04-22,0,0,2,4
2013-04-23,2,7,4,10
2013-04-24,0,0,5,10
2013-04-25,0,1,2,3
2013-04-26,2,5,9,9
2013-04-27,4,5,14,20
2013-04-28,0,0,4,8
2013-04-29,0,1,2,4
2013-04-30,2,5,6,12
2013-05-01,1,2,7,12
2013-05-02,0,0,3,3
2013-05-03,34,37,42,82
2013-05-04,1,4,2,3
2013-05-05,0,2,1,2
2013-05-06,1,1,7,11
2013-05-07,1,2,5,9
2013-05-08,0,0,1,2
2013-05-09,3,3,12,18
2013-05-10,0,2,4,7
2013-05-12,4,11,3,13
2013-05-13,1,1,6,8
2013-05-14,1,1,9,16
2013-05-15,2,4,5,3
2013-05-16,0,0,3,6
2013-05-17,2,7,4,8
2013-05-18,0,0,1,2
2013-05-19,4,8,7,13
2013-05-20,2,2,6,8
2013-05-21,1,1,5,0
2013-05-22,6,8,11,19
2013-05-23,0,1,6,8
2013-05-24,0,0,4,6
2013-05-25,2,3,9,12
2013-05-26,0,0,2,1
2013-05-27,0,2,1,2
2013-05-28,5,9,8,11
2013-05-29,0,0,2,4
2013-05-30,2,3,10,18
2013-05-31,4,4,9,14
2013-06-01,4,5,9,12
2013-06-02,4,6,4,-1
2013-06-03,0,0,3,2
2013-06-04,0,0,3,5
2013-06-05,0,3,2,7
2013-06-06,0,0,7,9
2013-06-07,4,13,1,16
2013-06-08,10,13,11,22
2013-06-09,5,7,7,14
2013-06-10,3,7,5,15
2013-06-11,3,6,12,23
2013-06-12,0,2,5,10
2013-06-13,1,1,9,16
2013-06-14,0,1,5,8
2013-06-15,2,3,5,10
2013-06-16,1,2,9,14
2013-06-17,1,1,6,12
2013-06-18,1,2,7,12
2013-06-19,2,2,9,14
2013-06-20,0,0,1,2
2013-06-21,9,10,17,23
2013-06-22,0,0,1,2
2013-06-23,3,7,4,8
2013-06-24,0,2,1,4
2013-06-25,1,4,4,4
2013-06-26,17,25,23,8
2013-06-27,1,2,8,15
2013-06-28,0,1,4,4
2013-06-29,1,2,5,7
2013-06-30,0,0,1,2
2013-07-01,0,0,3,4
2013-07-02,2,4,7,11
2013-07-03,3,6,9,12
2013-07-04,4,9,5,7
2013-07-05,2,3,2,4
2013-07-06,0,0,2,4
2013-07-07,0,0,4,8
2013-07-08,16,20,17,34
2013-07-09,1,2,9,17
2013-07-10,2,4,6,4
2013-07-12,1,6,0,4
2013-07-13,3,5,10,16
2013-07-14,2,6,5,12
2013-07-15,54,57,54,108
2013-07-16,0,0,3,6
2013-07-17,1,1,4,1
2013-07-18,0,2,2,3
2013-07-19,2,5,8,13
2013-07-20,2,7,1,10
2013-07-21,1,1,9,12
2013-07-22,5,5,14,28
2013-07-23,8,9,16,28
2013-07-24,5,8,7,13
2013-07-25,4,5,11,14
2013-07-26,1,1,5,9
2013-07-27,1,6,2,6
2013-07-28,36,57,24,41
2013-07-29,0,0,1,2
2013-07-30,2,7,7,12
2013-07-31,0,5,0,1
2013-08-01,0,0,3,5
2013-08-02,0,1,4,8
2013-08-03,5,7,11,21
2013-08-05,12,14,16,-20
2013-08-06,6,11,8,16
2013-08-07,1,3,4,4
2013-08-08,0,4,0,7
2013-08-09,2,2,9,15
2013-08-10,2,5,5,8
2013-08-11,4,7,7,8
2013-08-12,0,0,6,8
2013-08-13,0,1,4,6
2013-08-14,0,2,6,12
2013-08-15,2,4,4,2
2013-08-16,1,2,3,4
2013-08-17,2,2,5,1
2013-08-18,0,0,1,2
2013-08-19,0,1,5,9
2013-08-20,7,12,11,16
2013-08-21,0,0,2,3
2013-08-22,0,2,5,10
2013-08-23,1,1,5,10
2013-08-24,2,2,6,8
2013-08-25,0,0,4,8
2013-08-26,0,0,2,4
2013-08-27,0,1,1,2
2013-08-28,2,4,6,12
2013-08-29,1,4,9,13
2013-08-30,2,7,6,19
2013-08-31,0,0,4,6
2013-09-01,1,2,4,5
2013-09-02,4,6,26,46
2013-09-03,0,1,4,7
2013-09-04,7,9,8,-12
2013-09-05,0,0,7,7
2013-09-06,3,5,5,2
2013-09-07,0,0,5,10
2013-09-08,8,9,13,25
2013-09-09,1,1,5,10
2013-09-10,1,1,8,12
2013-09-11,1,2,6,11
2013-09-12,0,2,2,-1
2013-09-13,1,1,5,10
2013-09-14,0,0,2,0
2013-09-15,0,0,6,9
2013-09-16,2,6,2,4
2013-09-17,19,23,19,10
2013-09-18,1,1,7,4
2013-09-19,5,5,14,23
2013-09-20,3,9,5,18
2013-09-21,0,0,2,1
2013-09-22,1,1,6,9
2013-09-23,1,3,5,10
2013-09-24,4,5,8,11
2013-09-25,4,5,5,2
2013-09-26,2,2,7,8
2013-09-27,1,6,3,12
2013-09-28,2,3,5,7
2013-09-29,1,4,3,5
2013-09-30,0,1,1,2
2013-10-01,0,0,1,2
2013-10-02,3,4,19,29
2013-10-03,19,25,21,26
2013-10-04,1,1,5,10
2013-10-05,0,0,2,4
2013-10-07,0,1,5,6
2013-10-08,9,9,17,31
2013-10-09,8,11,16,28
2013-10-10,0,1,3,6
2013-10-11,21,26,29,54
2013-10-12,3,5,10,18
2013-10-13,1,2,7,13
2013-10-14,3,5,7,10
2013-10-15,1,1,3,6
2013-10-16,2,2,7,14
2013-10-17,0,1,2,4
2013-10-18,9,12,18,32
2013-10-20,1,1,8,12
2013-10-21,2,3,9,15
2013-10-22,4,7,9,22
2013-10-23,4,4,7,-9
2013-10-24,9,12,11,9
2013-10-25,1,5,1,14
2013-10-26,0,0,5,7
2013-10-27,3,3,14,24
2013-10-28,0,0,5,9
2013-10-29,2,3,11,22
2013-10-30,3,8,2,7
2013-10-31,7,13,15,28
2013-11-01,1,1,4,5
2013-11-02,0,0,2,4
2013-11-03,2,3,5,9
2013-11-04,0,0,8,15
2013-11-05,0,0,3,6
2013-11-06,5,6,16,15
2013-11-07,1,2,5,7
2013-11-08,0,0,4,7
2013-11-10,2,3,7,9
2013-11-12,2,2,6,10
2013-11-13,5,9,11,14
2013-11-14,3,9,1,6
2013-11-15,3,5,11,20
2013-11-16,0,1,1,2
2013-11-17,1,1,2,4
2013-11-18,2,7,6,20
2013-11-19,3,5,11,17
2013-11-20,2,2,10,15
2013-11-21,3,6,4,6
2013-11-22,1,2,6,12
2013-11-23,2,3,12,18
2013-11-24,2,5,6,7
2013-11-25,0,1,4,7
2013-11-27,3,4,8,13
2013-11-28,0,0,1,2
2013-11-29,2,4,7,12
2013-11-30,3,8,4,11
2013-12-01,0,1,4,7
2013-12-02,0,0,4,5
2013-12-03,22,37,20,31
2013-12-04,5,6,12,21
2013-12-05,8,11,12,22
2013-12-06,37,42,42,76
2013-12-07,3,4,5,8
2013-12-08,2,2,4,-4
2013-12-09,5,7,12,18
2013-12-10,2,2,12,21
2013-12-11,3,4,7,12
2013-12-12,4,6,16,21
2013-12-13,6,7,14,18
2013-12-14,3,8,7,11
2013-12-15,0,0,4,5
2013-12-16,4,7,13,18
2013-12-17,0,0,6,11
2013-12-18,0,0,5,5
2013-12-19,0,1,4,5
2013-12-20,1,4,3,8
2013-12-21,1,2,5,10
2013-12-22,51,78,31,26
2013-12-23,4,7,9,13
2013-12-24,29,30,31,62
2013-12-25,0,0,2,4
2013-12-26,3,5,9,8
2013-12-27,2,2,12,9
2013-12-28,3,4,8,12
2013-12-29,5,7,10,14
2013-12-30,5,6,13,15
2013-12-31,11,11,19,12
2014-01-01,0,3,7,14
2014-01-02,2,5,2,4
2014-01-03,6,8,13,22
2014-01-04,4,6,10,14
2014-01-05,1,3,7,13
2014-01-06,1,3,7,11
2014-01-07,34,39,37,70
2014-01-08,1,5,2,4
2014-01-09,0,0,6,7
2014-01-10,6,9,14,17
2014-01-11,15,15,19,37
2014-01-12,1,1,3,2
2014-01-13,16,21,24,20
2014-01-14,0,2,9,1
2014-01-15,0,2,7,15
2014-01-16,9,10,16,4
2014-01-17,2,3,3,6
2014-01-18,4,8,6,8
2014-01-19,5,7,11,15
2014-01-20,42,46,52,97
2014-01-21,8,11,19,35
2014-01-22,26,34,34,61
2014-01-23,1,2,8,14
2014-01-24,0,0,4,8
2014-01-25,12,12,17,23
2014-01-26,3,3,6,10
2014-01-27,7,9,15,26
2014-01-28,8,10,14,20
2014-01-29,3,3,6,12
2014-01-30,12,18,22,18
2014-01-31,6,10,14,19
2014-02-01,0,0,3,6
2014-02-03,2,5,4,11
2014-02-04,6,7,15,26
2014-02-05,1,2,10,13
2014-02-06,2,2,8,13
2014-02-07,10,12,17,24
2014-02-08,2,3,6,12
2014-02-09,1,1,7,10
2014-02-10,2,2,10,14
2014-02-11,6,8,14,4
2014-02-12,1,2,10,18
2014-02-13,9,13,18,35
2014-02-14,11,13,15,18
2014-02-15,5,7,13,22
2014-02-16,2,4,10,15
2014-02-17,0,0,5,4
2014-02-18,6,12,16,21
2014-02-19,2,6,3,10
2014-02-20,1,2,2,4
2014-02-21,4,5,8,3
2014-02-22,1,1,3,2
2014-02-23,4,4,16,25
2014-02-24,4,7,14,24
2014-02-25,6,8,15,20
2014-02-26,5,5,10,17
2014-02-27,2,4,15,26
2014-02-28,9,12,14,22
2014-03-01,0,1,4,8
2014-03-02,0,0,5,8
2014-03-03,0,0,8,13
2014-03-04,0,2,12,24
2014-03-05,1,1,7,8
2014-03-06,1,4,4,2
2014-03-07,0,1,10,15
2014-03-08,3,3,12,-2
2014-03-09,0,2,3,1
2014-03-10,0,3,5,13
2014-03-11,0,0,2,4
2014-03-12,0,0,2,0
2014-03-13,0,0,15,26
2014-03-14,0,1,3,6
2014-03-15,1,5,1,6
2014-03-16,3,6,5,11
2014-03-17,0,0,5,8
2014-03-18,0,1,2,3
2014-03-19,10,12,17,13
2014-03-20,1,1,4,8
2014-03-21,5,7,12,21
2014-03-22,1,2,4,0
2014-03-23,3,6,5,1
2014-03-24,1,2,6,12
2014-03-25,7,9,11,5
2014-03-26,2,3,8,13
2014-03-27,5,21,-2,-31
2014-03-28,0,2,10,17
2014-03-29,0,0,4,8
2014-03-30,0,0,2,3
2014-03-31,2,3,6,7
2014-04-01,9,14,15,25
2014-04-02,2,4,12,13
2014-04-03,0,1,5,7
2014-04-04,0,1,5,8
2014-04-05,0,0,1,2
2014-04-06,0,0,2,1
2014-04-07,1,1,4,-4
2014-04-08,2,3,6,11
2014-04-09,0,1,7,9
2014-04-10,3,4,13,23
2014-04-11,1,2,5,8
2014-04-12,38,45,39,59
2014-04-13,0,0,3,4
2014-04-14,1,2,10,11
2014-04-15,0,0,6,6
2014-04-16,8,9,20,39
2014-04-17,2,4,11,18
2014-04-18,0,0,4,8
2014-04-19,0,0,1,2
2014-04-20,1,4,5,11
2014-04-21,1,2,3,5
2014-04-22,3,6,10,10
2014-04-23,0,0,6,8
2014-04-24,1,4,8,17
2014-04-25,1,1,8,16
2014-04-26,0,0,4,8
2014-04-27,3,4,4,-4
2014-04-28,2,4,5,6
2014-04-29,7,9,10,5
2014-04-30,8,12,9,18
2014-05-01,1,2,4,8
2014-05-02,0,0,5,10
2014-05-03,9,10,14,28
2014-05-04,1,2,4,7
2014-05-05,1,1,8,11
2014-05-06,4,5,15,24
2014-05-07,4,5,8,14
2014-05-08,0,2,6,9
2014-05-09,4,5,10,5
2014-05-10,1,1,4,0
2014-05-11,0,0,2,4
2014-05-12,0,2,3,2
2014-05-13,3,5,8,5
2014-05-14,0,0,10,20
2014-05-15,3,6,14,14
2014-05-16,1,3,8,6
2014-05-17,0,0,1,2
2014-05-18,0,2,4,6
2014-05-19,2,5,10,17
2014-05-20,0,0,2,3
2014-05-21,1,2,5,9
2014-05-22,3,5,9,14
2014-05-23,0,0,2,2
2014-05-24,1,3,4,8
2014-05-25,5,12,6,-1
2014-05-26,7,9,11,5
2014-05-27,2,3,10,12
2014-05-28,0,0,5,6
2014-05-29,5,7,16,6
2014-05-30,1,3,4,7
2014-05-31,5,7,5,-6
2014-06-01,4,5,9,15
2014-06-02,0,0,2,4
2014-06-03,0,0,7,14
2014-06-04,3,5,8,12
2014-06-05,2,5,4,6
2014-06-06,2,4,5,0
2014-06-07,0,0,6,9
2014-06-08,2,2,7,10
2014-06-09,5,6,14,22
2014-06-10,7,13,12,19
2014-06-11,1,3,3,3
2014-06-12,6,8,9,0
2014-06-13,0,2,7,11
2014-06-14,1,1,3,5
2014-06-15,5,7,10,13
2014-06-16,5,8,5,10
2014-06-17,0,1,5,7
2014-06-18,5,6,21,36
2014-06-19,0,0,1,1
2014-06-20,0,1,2,2
2014-06-21,0,0,3,6
2014-06-22,2,4,9,16
2014-06-23,0,1,3,5
2014-06-24,156,180,147,286
2014-06-25,2,2,9,12
2014-06-26,6,9,8,-4
2014-06-27,3,4,5,0
2014-06-28,2,2,9,17
2014-06-29,3,3,11,17
2014-06-30,2,3,11,11
2014-07-01,0,1,12,18
2014-07-02,20,22,34,-2
2014-07-03,2,4,10,18
2014-07-04,0,1,7,9
2014-07-05,0,0,3,5
2014-07-06,0,0,11,20
2014-07-07,0,0,12,24
2014-07-08,1,1,10,12
2014-07-09,3,12,8,22
2014-07-10,1,1,12,19
2014-07-11,1,3,12,10
2014-07-12,1,2,15,24
2014-07-13,0,1,7,10
2014-07-14,2,8,4,9
2014-07-15,3,7,12,24
2014-07-16,0,1,10,17
2014-07-17,0,0,4,8
2014-07-18,0,0,11,20
2014-07-19,0,2,7,10
2014-07-20,2,2,6,11
2014-07-21,3,6,17,10
2014-07-22,1,2,13,14
2014-07-23,2,5,23,45
2014-07-24,2,3,11,15
2014-07-25,0,2,6,11
2014-07-26,0,0,6,9
2014-07-27,1,1,13,25
2014-07-28,1,3,16,25
2014-07-29,9,9,26,39
2014-07-30,0,0,5,9
2014-07-31,7,13,17,28
2014-08-01,2,3,18,34
2014-08-02,1,3,19,34
2014-08-03,5,6,17,23
2014-08-04,1,1,7,8
2014-08-05,2,8,4,19
2014-08-06,0,1,9,12
2014-08-07,0,0,7,11
2014-08-08,0,0,12,15
2014-08-09,22,25,26,47
2014-08-10,3,5,9,14
2014-08-11,0,1,16,20
2014-08-12,0,0,10,19
2014-08-13,2,3,10,11
2014-08-14,0,0,4,7
2014-08-15,15,20,27,37
2014-08-16,6,6,10,20
2014-08-17,0,1,12,19
2014-08-18,2,4,10,11
2014-08-19,12,18,38,54
2014-08-20,0,0,2,4
2014-08-21,0,1,4,8
2014-08-22,0,1,12,22
2014-08-23,1,3,6,6
2014-08-24,0,0,9,14
2014-08-25,0,4,15,26
2014-08-26,0,0,6,7
2014-08-27,3,5,20,37
2014-08-28,4,7,8,6
2014-08-29,1,1,16,29
2014-08-30,0,1,5,10
2014-08-31,3,3,19,29
2014-09-01,4,4,9,8
2014-09-02,0,0,11,13
2014-09-03,0,0,19,21
2014-09-04,15,16,32,58
2014-09-05,0,1,6,9
2014-09-06,2,5,10,21
2014-09-07,0,0,5,8
2014-09-08,1,2,12,20
2014-09-09,4,4,12,15
2014-09-10,0,1,20,30
2014-09-11,1,1,17,18
2014-09-12,1,2,8,12
2014-09-13,0,0,4,3
2014-09-14,7,10,26,45
2014-09-15,2,2,16,25
2014-09-16,0,0,10,11
2014-09-17,1,3,29,32
2014-09-18,5,7,18,8
2014-09-19,0,0,14,24
2014-09-20,0,2,6,11
2014-09-21,1,1,10,17
2014-09-22,7,12,18,3
2014-09-23,1,10,5,27
2014-09-24,4,6,18,33
2014-09-25,0,0,11,18
2014-09-26,7,8,16,31
2014-09-27,2,8,2,24
2014-09-28,0,1,13,20
2014-09-29,0,0,20,33
2014-09-30,12,17,24,6
2014-10-01,4,6,11,22
2014-10-02,9,14,21,11
2014-10-03,4,6,16,17
2014-10-04,1,1,9,14
2014-10-05,3,5,13,8
2014-10-06,3,4,19,37
2014-10-07,0,0,8,14
2014-10-08,0,0,14,26
2014-10-09,2,3,18,30
2014-10-10,1,3,4,5
2014-10-11,2,2,18,29
2014-10-12,0,0,6,10
2014-10-13,3,3,17,29
2014-10-14,2,3,16,20
2014-10-15,0,1,13,19
2014-10-16,3,6,17,29
2014-10-17,1,2,16,26
2014-10-18,13,13,18,35
2014-10-19,7,7,15,16
2014-10-20,4,6,19,34
2014-10-21,0,0,12,18
2014-10-22,0,1,6,12
2014-10-23,2,4,11,16
2014-10-24,1,1,21,37
2014-10-25,0,0,6,7
2014-10-26,0,0,12,23
2014-10-27,1,3,12,19
2014-10-28,2,2,13,19
2014-10-29,1,2,15,24
2014-10-30,7,8,14,24
2014-10-31,0,0,17,22
2014-11-01,8,9,25,42
2014-11-02,0,0,5,7
2014-11-03,0,2,11,19
2014-11-04,18,22,28,54
2014-11-05,1,4,23,31
2014-11-06,0,0,17,25
2014-11-07,0,2,8,15
2014-11-08,1,1,8,15
2014-11-09,3,5,13,7
2014-11-10,4,5,18,29
2014-11-11,1,2,8,11
2014-11-12,6,7,18,28
2014-11-13,1,2,15,20
2014-11-14,0,1,15,27
2014-11-15,1,1,11,14
2014-11-16,2,2,22,41
2014-11-17,4,4,20,30
2014-11-18,1,1,11,17
2014-11-19,0,1,18,35
2014-11-20,1,1,14,17
2014-11-21,0,0,6,12
2014-11-22,1,7,6,25
2014-11-23,0,1,10,12
2014-11-24,10,15,26,51
2014-11-25,42,43,66,120
2014-11-26,3,3,14,11
2014-11-27,1,2,8,11
2014-11-28,0,0,7,11
2014-11-29,1,3,6,12
2014-11-30,0,0,8,12
2014-12-01,0,0,4,6
2014-12-02,7,8,25,36
2014-12-03,2,3,14,21
2014-12-04,4,9,5,1
2014-12-05,4,5,23,33
2014-12-06,11,14,33,20
2014-12-07,0,1,10,18
2014-12-08,2,3,13,12
2014-12-09,5,10,23,38
2014-12-10,3,5,19,31
2014-12-11,2,7,16,25
2014-12-12,5,5,17,8
2014-12-13,1,2,8,5
2014-12-14,1,2,15,22
2014-12-15,8,9,26,51
2014-12-16,1,3,9,14
2014-12-17,6,7,22,37
2014-12-18,4,7,17,27
2014-12-19,1,3,10,19
2014-12-20,4,8,15,18
2014-12-21,2,4,6,8
2014-12-22,1,2,13,17
2014-12-23,52,58,66,126
2014-12-24,1,2,14,21
2014-12-26,2,2,17,24
2014-12-27,0,2,18,32
2014-12-28,0,2,9,11
2014-12-29,1,4,24,44
2014-12-30,0,1,14,23
2014-12-31,2,6,9,15
2015-01-01,1,5,9,14
2015-01-02,7,8,28,20
2015-01-03,0,1,22,43
2015-01-04,0,0,17,33
2015-01-05,2,3,28,41
2015-01-06,7,8,25,42
2015-01-07,6,7,25,49
2015-01-08,4,6,26,42
2015-01-09,6,8,24,26
2015-01-10,0,1,8,6
2015-01-11,2,3,10,8
2015-01-12,0,0,14,24
2015-01-13,40,46,47,-60
2015-01-14,3,5,15,16
2015-01-15,1,2,11,15
2015-01-16,1,3,15,21
2015-01-17,1,2,3,2
2015-01-18,3,5,23,39
2015-01-19,0,0,10,15
2015-01-20,2,3,17,21
2015-01-21,8,11,30,31
2015-01-22,1,4,13,12
2015-01-23,0,0,3,4
2015-01-24,0,0,2,3
2015-01-25,2,5,4,12
2015-01-26,0,1,6,8
2015-01-27,0,3,19,28
2015-01-28,0,2,21,40
2015-01-29,1,2,13,20
2015-01-30,5,7,19,30
2015-01-31,2,3,7,3
2015-02-01,15,18,23,7
2015-02-02,4,6,11,0
2015-02-03,2,3,9,11
2015-02-04,0,0,14,20
2015-02-05,0,0,5,10
2015-02-06,57,80,136,207
2015-02-07,0,1,16,23
2015-02-08,1,1,11,9
2015-02-09,4,6,19,21
2015-02-10,1,4,11,15
2015-02-11,1,1,20,17
2015-02-12,8,12,23,11
2015-02-13,3,6,23,34
2015-02-14,6,9,21,14
2015-02-15,4,5,11,19
2015-02-16,4,5,27,46
2015-02-17,1,1,7,6
2015-02-18,0,5,10,19
2015-02-19,5,6,17,27
2015-02-20,8,12,22,19
2015-02-21,3,7,25,41
2015-02-22,4,5,12,13
2015-02-23,6,12,24,42
2015-02-24,2,2,14,26
2015-02-25,2,3,10,1
2015-02-26,4,4,20,29
2015-02-27,6,6,25,34
2015-02-28,5,10,21,27
2015-03-01,4,6,18,24
2015-03-02,4,6,21,35
2015-03-03,1,3,20,20
2015-03-04,9,12,23,33
2015-03-05,0,0,14,20
2015-03-06,15,15,52,78
2015-03-07,1,1,10,13
2015-03-08,12,15,26,48
2015-03-09,3,5,20,29
2015-03-10,3,6,18,34
2015-03-11,1,1,20,30
2015-03-12,3,6,16,9
2015-03-13,1,2,13,18
2015-03-14,1,2,6,9
2015-03-15,0,2,13,25
2015-03-16,8,10,18,4
2015-03-17,7,9,22,30
2015-03-18,6,11,11,22
2015-03-19,2,4,11,16
2015-03-20,7,11,15,22
2015-03-21,0,0,8,15
2015-03-22,65,70,73,-48
2015-03-23,8,11,29,28
2015-03-24,5,8,18,13
2015-03-25,4,5,18,32
2015-03-26,10,14,25,40
2015-03-27,0,0,16,29
2015-03-28,17,18,29,54
2015-03-29,0,0,7,13
2015-03-30,3,5,21,35
2015-03-31,9,14,23,29
2015-04-01,5,8,18,22
2015-04-02,32,47,35,-3
2015-04-03,5,8,24,47
2015-04-04,0,1,6,4
2015-04-05,0,6,9,25
2015-04-06,0,1,15,22
2015-04-07,1,3,23,39
2015-04-08,1,3,14,20
2015-04-09,6,8,17,3
2015-04-10,1,4,11,9
2015-04-11,0,51,-35,69
2015-04-12,2,3,17,30
2015-04-13,3,3,13,21
2015-04-14,2,4,18,20
2015-04-15,1,2,12,15
2015-04-16,0,1,11,15
2015-04-17,6,6,24,43
2015-04-18,1,2,13,19
2015-04-19,1,2,20,30
2015-04-20,19,25,25,-13
2015-04-21,23,25,33,51
2015-04-22,1,2,10,18
2015-04-23,4,6,26,44
2015-04-24,9,14,23,32
2015-04-25,4,5,10,7
2015-04-26,3,5,17,18
2015-04-27,4,5,18,24
2015-04-28,3,4,18,30
2015-04-29,2,5,19,32
2015-04-30,4,5,25,26
2015-05-01,4,7,13,2
2015-05-02,1,1,9,18
2015-05-03,1,1,10,11
2015-05-04,5,6,23,28
2015-05-05,0,2,10,18
2015-05-06,4,4,22,25
2015-05-07,0,0,7,9
2015-05-08,3,3,12,14
2015-05-09,3,5,13,5
2015-05-10,1,1,7,12
2015-05-11,6,10,14,24
2015-05-12,2,3,16,21
2015-05-13,1,1,9,4
2015-05-14,5,5,15,13
2015-05-15,1,1,13,19
2015-05-16,5,5,16,26
2015-05-17,3,8,12,15
2015-05-18,1,5,21,42
2015-05-19,0,1,11,17
2015-05-20,0,2,6,10
2015-05-21,1,2,8,10
2015-05-22,27,29,32,-38
2015-05-23,1,1,4,8
2015-05-24,0,0,5,6
2015-05-25,0,0,8,16
2015-05-26,2,4,16,19
2015-05-27,9,10,26,47
2015-05-28,5,10,23,21
2015-05-29,0,0,9,11
2015-05-30,1,2,24,46
2015-05-31,3,3,19,29
2015-06-01,0,0,7,4
2015-06-02,5,9,19,28
2015-06-03,30,42,29,1
2015-06-04,0,2,12,19
2015-06-05,1,5,15,29
2015-06-06,0,2,6,9
2015-06-07,4,5,15,12
2015-06-08,3,7,21,40
2015-06-09,1,2,17,15
2015-06-10,1,2,3,6
2015-06-11,7,8,18,-1
2015-06-12,11,14,18,6
2015-06-13,1,1,9,13
2015-06-14,5,8,14,9
2015-06-15,6,7,20,16
2015-06-16,1,2,9,7
2015-06-17,0,0,9,17
2015-06-18,3,4,16,22
2015-06-19,2,3,12,13
2015-06-20,4,4,21,37
2015-06-21,8,9,23,11
2015-06-22,7,10,23,43
2015-06-23,2,4,22,34
2015-06-24,4,6,17,16
2015-06-25,0,0,5,3
2015-06-26,0,0,8,15
2015-06-27,3,5,16,26
2015-06-28,5,8,17,27
2015-06-29,2,3,21,30
2015-06-30,1,1,14,27
2015-07-01,48,52,55,-70
2015-07-02,3,3,20,32
2015-07-03,4,5,13,14
2015-07-04,12,15,14,23
2015-07-05,3,4,12,9
2015-07-06,8,9,20,28
2015-07-07,8,11,23,34
2015-07-08,3,6,15,27
2015-07-09,2,3,13,23
2015-07-10,3,5,15,30
2015-07-11,0,0,17,27
